SNR,CS_Mean_Text_1,CS_Lower_Text_1,CS_Upper_Text_1,MI_Mean_Text_1,MI_Lower_Text_1,MI_Upper_Text_1,CS_Mean_Text_2,CS_Lower_Text_2,CS_Upper_Text_2,MI_Mean_Text_2,MI_Lower_Text_2,MI_Upper_Text_2,CS_Mean_Text_3,CS_Lower_Text_3,CS_Upper_Text_3,MI_Mean_Text_3,MI_Lower_Text_3,MI_Upper_Text_3
-10,0.8361368298530578,0.8194811132923059,0.8527925464138097,0.5682858189486921,0.4205728176288289,0.7159988202685553,0.8062499582767486,0.7838806073369556,0.8286193092165416,0.5795972365659574,0.4133565364654076,0.7458379366665072,0.8190208315849304,0.7980256923752349,0.840015970794626,0.4865544628097761,0.3718976898896252,0.6012112357299271
-9,0.8365688860416413,0.8217917684504633,0.8513460036328192,0.5731552129888031,0.4391286977422987,0.7071817282353076,0.8005712747573852,0.7821903060498103,0.8189522434649601,0.48725155269510695,0.37466643503888775,0.5998366703513262,0.8352223992347717,0.8061700914230397,0.8642747070465037,0.47297933775845963,0.34043323745474086,0.6055254380621784
-8,0.8481950342655182,0.830722259214492,0.8656678093165444,0.6130126977285388,0.49407317395421213,0.7319522215028655,0.7976239621639252,0.7694989719501766,0.8257489523776738,0.5019421959969079,0.35954778138700394,0.6443366106068119,0.8175458967685699,0.7933065273969981,0.8417852661401417,0.46358935696138615,0.32639079675250615,0.6007879171702661
-7,0.8470162868499755,0.8287484528087957,0.8652841208911554,0.590355321603016,0.46478422989249635,0.7159264133135356,0.8058070302009582,0.7915251408096475,0.8200889195922689,0.5354568963755512,0.4008417744960937,0.6700720182550086,0.8468865334987641,0.8333095501975154,0.8604635168000128,0.4267036594291147,0.3349799058203723,0.5184274130378571
-6,0.854300594329834,0.8455219527038549,0.863079235955813,0.5260653524069928,0.40163326637974195,0.6504974384342437,0.8376260280609131,0.8284794186503448,0.8467726374714815,0.7724197619004188,0.6193572888757932,0.9254822349250444,0.8299466073513031,0.8042434701411597,0.8556497445614465,0.6649970860711486,0.5319247522117585,0.7980694199305387
-5,0.8436635553836822,0.8277137675154338,0.8596133432519306,0.6380207507589217,0.5203134414781752,0.7557280600396683,0.8165290296077728,0.7893745697326608,0.8436834894828849,0.663471237046641,0.44690970704725264,0.8800327670460294,0.8596053421497345,0.8443956516936685,0.8748150326058005,0.49928922989028734,0.3576953180753978,0.6408831417051769
-4,0.8467992126941681,0.8296658122280491,0.8639326131602871,0.5695437844979878,0.400984011400051,0.7381035575959246,0.8025968253612519,0.7798813488423337,0.82531230188017,0.5676017569365629,0.399464198041089,0.7357393158320368,0.8479285538196564,0.8270659018164676,0.8687912058228452,0.7790528729957045,0.6308685167989363,0.9272372291924726
-3,0.8362605392932891,0.8081565607514861,0.8643645178350922,0.5132532983455946,0.3661581300779887,0.6603484666132006,0.8192349314689636,0.8059281612165604,0.8325417017213669,0.8266185077370272,0.6530064343518078,1.0002305811222465,0.8518306016921997,0.831540771946538,0.8721204314378614,0.7026249926441764,0.5291104054726249,0.876139579815728
-2,0.8613373219966889,0.8492478811839375,0.8734267628094403,0.8232156351915908,0.6741700290126864,0.9722612413704952,0.8272737920284271,0.8111892487297934,0.8433583353270608,0.8143302318341815,0.5802064215457144,1.0484540421226485,0.8545834243297576,0.8382273140673601,0.8709395345921552,0.7062278623466395,0.4938600030551591,0.9185957216381199
-1,0.8614660263061523,0.8322227288621117,0.890709323750193,0.7639468457737685,0.5428999228212711,0.9849937687262659,0.8394070744514466,0.825249430950034,0.8535647179528592,1.1709260703765678,0.8977294197726554,1.4441227209804803,0.8724406719207763,0.8569908340654259,0.8878905097761268,1.0320665729683018,0.8829384489014072,1.1811946970351965
0,0.8839369297027588,0.8758669576300385,0.8920069017754791,1.0014355928663872,0.7943604732192405,1.2085107125135337,0.8420444190502167,0.8188081797545204,0.865280658345913,1.399343170350311,1.0992777113455996,1.6994086293550223,0.8693026721477508,0.8549708055483038,0.8836345387471978,1.0134936021667678,0.7788642161062285,1.248122988227307
1,0.8663376033306122,0.8502369895850596,0.8824382170761648,0.9321502203246339,0.7049601867712331,1.1593402538780349,0.8566668391227722,0.8456681427424905,0.8676655355030539,1.5308381631981607,1.290089894283454,1.7715864321128674,0.8723137497901916,0.857345430661357,0.8872820689190262,1.268047624903144,1.0846967894359965,1.4513984603702916
2,0.8713108956813812,0.8643606471372081,0.8782611442255543,1.1629198418659203,0.9174208505079622,1.4084188332238785,0.8353506982326507,0.8197951108914594,0.8509062855738421,1.0986732917829556,0.8307011332431997,1.3666454503227115,0.8870311915874481,0.8733934751573533,0.900668908017543,1.6825828279226382,1.3521985848898872,2.0129670709553893
3,0.8744492113590241,0.8665388930156643,0.8823595297023838,1.0624464651696734,0.7936972833727826,1.3311956469665644,0.8632277369499206,0.8558577382228753,0.870597735676966,1.5169586475537085,1.164951741392917,1.8689655537145,0.8796321272850036,0.8662114321924531,0.8930528223775541,2.1346328674008457,1.628175742212071,2.6410899925896203
4,0.8715653121471405,0.8523587058468762,0.8907719184474048,1.2090442562980825,0.9630180538430697,1.4550704587530954,0.8543334901332855,0.838308843948282,0.8703581363182891,1.7416345409247236,1.3601050887536124,2.123163993095835,0.8858034551143646,0.8774697460953362,0.8941371641333931,1.9870473964805881,1.6308214515627624,2.343273341398414
5,0.8882652938365936,0.8750783841732945,0.9014522034998926,1.6305285365961073,1.300202750176961,1.9608543230152535,0.8596808671951294,0.8504394800755062,0.8689222543147526,2.358634145541765,1.9782348406638446,2.739033450419686,0.8815141499042511,0.8675571150739066,0.8954711847345956,2.512297377837773,2.09015098868407,2.9344437669914756
6,0.8857940316200257,0.8730482158764664,0.8985398473635849,1.611233066903886,1.359386155480017,1.8630799783277547,0.8593600332736969,0.8527975574806069,0.8659225090667869,2.5294977167774086,2.2591764785211996,2.7998189550336177,0.8855126380920411,0.8781851753555345,0.8928401008285476,2.290751344529224,1.8872701383167625,2.6942325507416856
7,0.8888028264045715,0.880322458683393,0.8972831941257501,1.7321667749387764,1.48548463124445,1.9788489186331026,0.8594852805137634,0.8349210967850295,0.8840494642424973,2.3870771952756518,1.9501413198974988,2.8240130706538045,0.8888256132602692,0.8761435769176344,0.901507649602904,2.5546565827456966,2.159893442644835,2.9494197228465584
