SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
0.0,0.9139591515064239,0.836376241721052,0.9915420612917959,0.7946686923503876
0.025,0.7777046144008637,0.6736030605460378,0.8818061682556896,0.7946686923503876
0.05,0.7567023158073425,0.6635492224874556,0.8498554091272293,0.7946686923503876
0.07500000000000001,0.6854418933391571,0.6089090269678052,0.7619747597105089,0.7946686923503876
0.1,0.7012088418006897,0.6333830004160887,0.7690346831852906,0.7946686923503876
0.125,0.7022404670715332,0.6288822552954423,0.7755986788476241,0.7946686923503876
0.15000000000000002,0.6407869398593903,0.5936071231087969,0.6879667566099836,0.7946686923503876
0.17500000000000002,0.6600128591060639,0.6009791607479489,0.7190465574641789,0.7946686923503876
0.2,0.660537838935852,0.595632553658668,0.7254431242130361,0.7946686923503876
0.225,0.6656056195497513,0.607809487046551,0.7234017520529515,0.7946686923503876
0.25,0.6439018100500107,0.583084376425964,0.7047192436740574,0.7946686923503876
0.275,0.6648754805326462,0.6006404062919142,0.7291105547733783,0.7946686923503876
0.30000000000000004,0.6625739514827729,0.6153447246170844,0.7098031783484613,0.7946686923503876
0.325,0.6889671504497528,0.6333879641266181,0.7445463367728874,0.7946686923503876
0.35000000000000003,0.7065266489982605,0.6269449528610604,0.7861083451354605,0.7946686923503876
0.375,0.6782117664813996,0.6088444848794899,0.7475790480833092,0.7946686923503876
0.4,0.6796556234359741,0.6091565811380704,0.7501546657338778,0.7946686923503876
0.42500000000000004,0.6667092800140381,0.5969181346204918,0.7365004254075843,0.7946686923503876
0.45,0.6223335504531861,0.5767840902973502,0.6678830106090219,0.7946686923503876
0.47500000000000003,0.6866702258586883,0.6174327870544708,0.7559076646629058,0.7946686923503876
0.5,0.7118153721094131,0.6409278689057397,0.7827028753130866,0.7946686923503876
0.525,0.6626653969287872,0.5994200528219659,0.7259107410356086,0.7946686923503876
0.55,0.6756105184555053,0.6354395263190044,0.7157815105920063,0.7946686923503876
0.5750000000000001,0.6560682415962219,0.591759109036938,0.7203773741555058,0.7946686923503876
0.6000000000000001,0.6316855132579804,0.5788968043059626,0.6844742222099982,0.7946686923503876
0.625,0.6705455124378205,0.6085552767302239,0.732535748145417,0.7946686923503876
0.65,0.6406450867652893,0.580767722773417,0.7005224507571616,0.7946686923503876
0.675,0.6655700325965881,0.6003296606269676,0.7308104045662086,0.7946686923503876
0.7000000000000001,0.6485902547836304,0.6027389482271002,0.6944415613401607,0.7946686923503876
0.7250000000000001,0.6567700564861297,0.5908430682188925,0.7226970447533669,0.7946686923503876
0.75,0.6266182065010071,0.5757894614746646,0.6774469515273496,0.7946686923503876
0.775,0.664275535941124,0.5922414628474642,0.7363096090347838,0.7946686923503876
0.8,0.6303891181945801,0.576114022674747,0.6846642137144132,0.7946686923503876
0.8250000000000001,0.6249335289001465,0.5763726858161998,0.6734943719840932,0.7946686923503876
0.8500000000000001,0.6464418232440948,0.5856619955558267,0.707221650932363,0.7946686923503876
0.875,0.6512162089347839,0.6052628111331428,0.697169606736425,0.7946686923503876
0.9,0.6216583728790284,0.572673088674923,0.6706436570831338,0.7946686923503876
0.925,0.6285460352897644,0.5755531387702547,0.681538931809274,0.7946686923503876
0.9500000000000001,0.6216696441173554,0.5686516984805151,0.6746875897541956,0.7946686923503876
0.9750000000000001,0.6256128966808319,0.572806488848236,0.6784193045134277,0.7946686923503876
1.0,0.618841004371643,0.5667323393303855,0.6709496694129006,0.7946686923503876
