SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.8217296898365021,0.7814974052763889,0.8619619743966153,0.9778895258903504
-9,0.8168030798435211,0.7832595091686526,0.8503466505183895,0.9778895258903504
-8,0.8126784443855286,0.773375435799038,0.8519814529720192,0.9778895258903504
-7,0.8606669008731842,0.8321493550143126,0.8891844467320558,0.9778895258903504
-6,0.8595264613628387,0.8316143034779758,0.8874386192477016,0.9778895258903504
-5,0.8595499515533447,0.8254702978711401,0.8936296052355492,0.9778895258903504
-4,0.8746301293373108,0.847901298342449,0.9013589603321726,0.9778895258903504
-3,0.8867424726486206,0.8722691250503513,0.90121582024689,0.9778895258903504
-2,0.898241376876831,0.8797516022025769,0.9167311515510852,0.9778895258903504
-1,0.8518879473209381,0.7537895114767065,0.9499863831651697,0.9778895258903504
0,0.9081229031085968,0.8907488226100003,0.9254969836071932,0.9778895258903504
1,0.8952221095561981,0.8776602921301342,0.912783926982262,0.9778895258903504
2,0.9219387412071228,0.9126265489636558,0.9312509334505898,0.9778895258903504
3,0.9284998714923859,0.9218651155624411,0.9351346274223307,0.9778895258903504
4,0.9275775969028472,0.905023871154436,0.9501313226512584,0.9778895258903504
5,0.9349265933036804,0.9110511823742383,0.9588020042331226,0.9778895258903504
6,0.9399194657802582,0.917914822558927,0.9619241090015894,0.9778895258903504
7,0.9691887676715851,0.9568444312110004,0.9815331041321699,0.9778895258903504
8,0.9706462264060974,0.96089330907769,0.9803991437345049,0.9778895258903504
9,0.9679431557655335,0.9585768766566237,0.9773094348744432,0.9778895258903504
10,0.9417787373065949,0.8965689967363767,0.9869884778768131,0.9778895258903504
11,0.974768340587616,0.96072492940601,0.988811751769222,0.9778895258903504
12,0.9741769015789032,0.9634477315776461,0.9849060715801604,0.9778895258903504
13,0.955426174402237,0.9229428072616165,0.9879095415428575,0.9778895258903504
14,0.9706213593482971,0.954758914002992,0.9864838046936022,0.9778895258903504
15,0.9775356173515319,0.9679362816545763,0.9871349530484875,0.9778895258903504
16,0.9822684586048126,0.9732714156307954,0.9912655015788298,0.9778895258903504
17,0.9787834823131562,0.9689427212780912,0.9886242433482211,0.9778895258903504
18,0.9793472468852997,0.969605140659882,0.9890893531107174,0.9778895258903504
19,0.9806992471218109,0.9702846680290966,0.9911138262145252,0.9778895258903504
20,0.9842015862464905,0.9752385545472761,0.9931646179457048,0.9778895258903504
21,0.9842503130435943,0.9739021102193394,0.9945985158678493,0.9778895258903504
22,0.9738704085350036,0.9596660726888391,0.9880747443811682,0.9778895258903504
23,0.9856141924858093,0.9761389960467548,0.9950893889248638,0.9778895258903504
24,0.9862243592739105,0.97721592142028,0.995232797127541,0.9778895258903504
25,0.9569236159324646,0.8967419682728732,1.0171052635920559,0.9778895258903504
26,0.9793008804321289,0.9733213271707198,0.985280433693538,0.9778895258903504
27,0.9785849869251251,0.969802648366463,0.9873673254837871,0.9778895258903504
28,0.9939772963523865,0.9870028482535664,1.0009517444512066,0.9778895258903504
29,0.9770559668540955,0.9644031263111419,0.989708807397049,0.9778895258903504
30,0.9920649647712707,0.9837851602377362,1.0003447693048053,0.9778895258903504
