SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.4126616833200257,0.2611289233350521,0.5641944433049992,3.673680402411262
-9,0.444550186851892,0.3215998060868939,0.56750056761689,3.673680402411262
-8,0.5271674829630355,0.39388668829343526,0.6604482776326357,3.673680402411262
-7,0.6383531161620277,0.47207593237049156,0.8046302999535639,3.673680402411262
-6,0.5631938626807175,0.39038928925402444,0.7359984361074106,3.673680402411262
-5,0.8311231629392074,0.6536763265767298,1.008569999301685,3.673680402411262
-4,0.6372042488545404,0.4330477425269734,0.8413607551821074,3.673680402411262
-3,0.7859301690642272,0.5434101057273385,1.028450232401116,3.673680402411262
-2,0.9659567413622181,0.7522735039449091,1.179639978779527,3.673680402411262
-1,1.0843887186331853,0.8705674836707255,1.298209953595645,3.673680402411262
0,1.319959895123851,1.039004139570835,1.600915650676867,3.673680402411262
1,1.1835924655746333,0.8696061459193631,1.4975787852299034,3.673680402411262
2,1.9270107758002646,1.494511741460022,2.359509810140507,3.673680402411262
3,2.096221356470397,1.7224307076509247,2.4700120052898695,3.673680402411262
4,2.1425201222251653,1.5863737407462155,2.698666503704115,3.673680402411262
5,2.5309077095099792,2.1526102268275227,2.909205192192436,3.673680402411262
6,2.881131844363199,2.3765521939191787,3.385711494807219,3.673680402411262
7,3.5640438983340657,3.198524961594589,3.929562835073542,3.673680402411262
8,3.4358304737963152,2.976476330503899,3.8951846170887316,3.673680402411262
9,3.512641288548038,3.0707704398887956,3.95451213720728,3.673680402411262
10,3.4806702353276826,3.054914074463844,3.906426396191521,3.673680402411262
11,3.7349672600740043,3.3663410692182283,4.10359345092978,3.673680402411262
12,3.7026931679969906,3.3057907217185076,4.099595614275473,3.673680402411262
13,3.7101671528967812,3.3801970981892104,4.040137207604352,3.673680402411262
14,3.5609332406667598,3.0621619794067394,4.05970450192678,3.673680402411262
15,3.899525288976226,3.636109904671839,4.162940673280613,3.673680402411262
16,3.7970479706211377,3.409129852241435,4.184966089000841,3.673680402411262
17,3.878244902890195,3.559704267826305,4.196785537954085,3.673680402411262
18,3.8676252120950365,3.5748936994726472,4.160356724717426,3.673680402411262
19,3.7712000397611662,3.3903379562112645,4.152062123311068,3.673680402411262
20,4.040979308087178,3.681918043736646,4.40004057243771,3.673680402411262
21,4.003199055834353,3.6702528848335554,4.33614522683515,3.673680402411262
22,3.8112719545726437,3.348730452893019,4.2738134562522685,3.673680402411262
23,4.0371604065814415,3.732872545077652,4.341448268085231,3.673680402411262
24,4.016901796324036,3.6838007794168313,4.3500028132312405,3.673680402411262
25,3.935430336495705,3.360720917919174,4.5101397550722355,3.673680402411262
26,4.016820871901755,3.841812564689473,4.191829179114038,3.673680402411262
27,3.939002698635556,3.5839901307313986,4.294015266539713,3.673680402411262
28,4.360595227885931,4.173526215509405,4.547664240262456,3.673680402411262
29,3.9785828230647065,3.6911333492248084,4.266032296904604,3.673680402411262
30,4.349075475001015,4.114137112163942,4.584013837838089,3.673680402411262
