SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.783708569407463,0.7098849556215283,0.8575321831933977,0.8461766004562378
-9,0.7955084085464478,0.7258463135906653,0.8651705035022302,0.8461766004562378
-8,0.795558899641037,0.7290216071034491,0.8620961921786249,0.8461766004562378
-7,0.8013386309146882,0.721223912066421,0.8814533497629553,0.8461766004562378
-6,0.7263001531362534,0.5842973858413062,0.8683029204312006,0.8461766004562378
-5,0.7850208729505539,0.6811002478970095,0.8889414980040983,0.8461766004562378
-4,0.7434446156024933,0.6550522868741263,0.8318369443308603,0.8461766004562378
-3,0.8095303237438202,0.7379509053389925,0.8811097421486478,0.8461766004562378
-2,0.8235254883766174,0.751396774605635,0.8956542021475998,0.8461766004562378
-1,0.8487953305244446,0.792199202347939,0.9053914587009502,0.8461766004562378
0,0.7486894607543946,0.6439918042338134,0.8533871172749757,0.8461766004562378
1,0.7592994451522828,0.660804760506271,0.8577941297982945,0.8461766004562378
2,0.7617142528295517,0.6613163078165188,0.8621121978425846,0.8461766004562378
3,0.7675184100866318,0.6505668194708465,0.8844700007024171,0.8461766004562378
4,0.818738454580307,0.735527609416412,0.901949299744202,0.8461766004562378
5,0.7817666232585907,0.6959372387464041,0.8675960077707773,0.8461766004562378
6,0.8587822318077087,0.7787573923531386,0.9388070712622789,0.8461766004562378
7,0.8644284963607788,0.7835427169261951,0.9453142757953624,0.8461766004562378
8,0.7991950452327728,0.7278243822898064,0.8705657081757393,0.8461766004562378
9,0.8664398968219758,0.7873330903051575,0.945546703338794,0.8461766004562378
10,0.8656413137912751,0.7795318644703325,0.9517507631122176,0.8461766004562378
11,0.8690866887569427,0.7835933091123874,0.954580068401498,0.8461766004562378
12,0.8484772205352783,0.7937139646386867,0.9032404764318699,0.8461766004562378
13,0.7934493660926819,0.7105745766424195,0.8763241555429443,0.8461766004562378
14,0.8232021629810333,0.7435025135755884,0.9029018123864783,0.8461766004562378
15,0.8711291790008545,0.7899819180054864,0.9522764399962226,0.8461766004562378
16,0.8468222558498383,0.7581753340079418,0.9354691776917348,0.8461766004562378
17,0.8580865144729615,0.7967321850793987,0.9194408438665242,0.8461766004562378
18,0.8254254519939422,0.7481945063517484,0.902656397636136,0.8461766004562378
19,0.8138351738452911,0.7349170569057624,0.8927532907848199,0.8461766004562378
20,0.8528687536716462,0.7718500589472018,0.9338874483960905,0.8461766004562378
21,0.8707179307937623,0.7864770347929866,0.9549588267945379,0.8461766004562378
22,0.8272047758102417,0.7433479110492225,0.9110616405712608,0.8461766004562378
23,0.8656834185123443,0.788279997174284,0.9430868398504046,0.8461766004562378
24,0.7978808403015136,0.7039006887588303,0.891860991844197,0.8461766004562378
25,0.860126155614853,0.7869263552249532,0.9333259560047527,0.8461766004562378
26,0.8547992944717407,0.7983357555098435,0.911262833433638,0.8461766004562378
27,0.8457404792308807,0.7699626497207185,0.9215183087410429,0.8461766004562378
28,0.8512702703475952,0.7709655175759873,0.931575023119203,0.8461766004562378
29,0.8231256067752838,0.7535064364190063,0.8927447771315613,0.8461766004562378
30,0.8584022223949432,0.7887610008099073,0.9280434439799792,0.8461766004562378
