SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.55656052866107,0.38014532947412594,0.732975727848014,2.676604492196809
-9,0.6384232595044644,0.466641939108828,0.8102045799001009,2.676604492196809
-8,0.6406223839225873,0.43884626931492343,0.8423984985302512,2.676604492196809
-7,0.6511684210472615,0.46059322771779276,0.8417436143767302,2.676604492196809
-6,0.6387659911102845,0.4761476345235465,0.8013843476970226,2.676604492196809
-5,0.8864998060881856,0.6720836016611115,1.1009160105152596,2.676604492196809
-4,0.8373195534687656,0.6730617504201257,1.0015773565174055,2.676604492196809
-3,1.0457708671020176,0.8345545139840866,1.2569872202199486,2.676604492196809
-2,1.0696306246615677,0.8063870020986422,1.3328742472244932,2.676604492196809
-1,1.153386084523067,0.8923001616280091,1.414472007418125,2.676604492196809
0,1.6000239314249574,1.246855736909082,1.9531921259408327,2.676604492196809
1,1.5980459407053889,1.3976836228642207,1.798408258546557,2.676604492196809
2,1.8739408793214594,1.5449587867265357,2.202922971916383,2.676604492196809
3,2.233628884075294,1.8234437076359975,2.64381406051459,2.676604492196809
4,2.4646415046697387,2.1219100459793756,2.807372963360102,2.676604492196809
5,2.641458926165537,2.4835224962072076,2.799395356123866,2.676604492196809
6,2.890472004808309,2.6951172322288643,3.0858267773877532,2.676604492196809
7,2.893775657795189,2.697796679434642,3.089754636155736,2.676604492196809
8,2.7964045236533983,2.577076428532967,3.01573261877383,2.676604492196809
9,3.210870792419074,2.93977998389665,3.4819616009414975,2.676604492196809
10,3.087668527250954,2.7569624639348795,3.418374590567028,2.676604492196809
11,2.9969717535361653,2.712107923378415,3.2818355836939155,2.676604492196809
12,2.868312374103056,2.73266204173561,3.003962706470502,2.676604492196809
13,2.8908457115206856,2.705876618853985,3.0758148041873863,2.676604492196809
14,2.966200520048715,2.7552763527560042,3.1771246873414256,2.676604492196809
15,3.096860977070498,2.727546481801891,3.4661754723391045,2.676604492196809
16,3.4226457811946984,3.1566976570789924,3.6885939053104044,2.676604492196809
17,3.1462493582727094,2.9018022026242853,3.3906965139211334,2.676604492196809
18,3.063922807917309,2.7459097352230057,3.381935880611612,2.676604492196809
19,2.9757430127720563,2.7424983867216337,3.208987638822479,2.676604492196809
20,3.1232574344835142,2.85537822569371,3.3911366432733185,2.676604492196809
21,3.3621903795571333,2.939565784997567,3.7848149741166996,2.676604492196809
22,3.095447728933727,2.829524198417414,3.3613712594500402,2.676604492196809
23,3.28668070945355,2.8923681858394867,3.6809932330676136,2.676604492196809
24,3.1597722131118298,2.7977202477088747,3.521824178514785,2.676604492196809
25,3.2504160788461136,2.9597784662067466,3.5410536914854807,2.676604492196809
26,3.3376151625886847,3.132997731505676,3.5422325936716934,2.676604492196809
27,3.3362565959986363,2.9182254220869046,3.754287769910368,2.676604492196809
28,3.098921142101326,2.7859971819248166,3.4118451022778356,2.676604492196809
29,3.478868041064396,3.104308596509673,3.8534274856191195,2.676604492196809
30,3.158496547636928,2.7298646246381817,3.5871284706356747,2.676604492196809
