SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
0.0,4.9069524750276345,4.836796266232226,4.977108683823043,3.662126766165302
0.025,3.5700749376292387,3.21426157291173,3.9258883023467472,3.662126766165302
0.05,3.3918914729354137,3.1629295161790094,3.620853429691818,3.662126766165302
0.07500000000000001,2.731741594758375,2.459396133713531,3.004087055803219,3.662126766165302
0.1,2.6019914269195774,2.3096825579683204,2.8943002958708344,3.662126766165302
0.125,2.3027732019732343,2.010368098965688,2.595178304980781,3.662126766165302
0.15000000000000002,2.420838325833525,2.2519090204331462,2.5897676312339035,3.662126766165302
0.17500000000000002,2.147942754905237,1.9548641310020467,2.3410213788084273,3.662126766165302
0.2,2.2164607312375058,2.043108546026867,2.3898129164481445,3.662126766165302
0.225,1.938542201409883,1.7334201018962692,2.143664300923497,3.662126766165302
0.25,1.8501533434656192,1.5700876068137044,2.1302190801175342,3.662126766165302
0.275,1.90006940391588,1.7713446939618476,2.0287941138699126,3.662126766165302
0.30000000000000004,1.7575716411710522,1.5857080550160372,1.9294352273260673,3.662126766165302
0.325,1.5734209379160098,1.3204873655720182,1.8263545102600014,3.662126766165302
0.35000000000000003,1.834046178478283,1.7595270344300524,1.9085653225265138,3.662126766165302
0.375,1.6607023286827534,1.520500405247346,1.8009042521181606,3.662126766165302
0.4,1.7485989699800473,1.6554225939310763,1.8417753460290183,3.662126766165302
0.42500000000000004,1.6384129925141138,1.5024636267414444,1.7743623582867831,3.662126766165302
0.45,1.489451438353685,1.1859700578108459,1.7929328188965241,3.662126766165302
0.47500000000000003,1.6362974040657954,1.5248386307022952,1.7477561774292956,3.662126766165302
0.5,1.5701486361591086,1.451444058978428,1.688853213339789,3.662126766165302
0.525,1.4616823291199634,1.2964993007019596,1.6268653575379672,3.662126766165302
0.55,1.4045846758956408,1.2961523930574903,1.5130169587337914,3.662126766165302
0.5750000000000001,1.3381012353692927,1.1811777660170384,1.495024704721547,3.662126766165302
0.6000000000000001,1.352463231744439,1.2314510709898927,1.4734753924989852,3.662126766165302
0.625,1.393250258990232,1.2890848585151355,1.4974156594653285,3.662126766165302
0.65,1.168074363727037,0.9271395967035627,1.4090091307505113,3.662126766165302
0.675,1.2591977484413601,1.1441453590200705,1.3742501378626497,3.662126766165302
0.7000000000000001,1.166512900932597,1.1123760452065314,1.2206497566586625,3.662126766165302
0.7250000000000001,1.121717537210467,1.0131650992793737,1.2302699751415604,3.662126766165302
0.75,1.178688590270113,1.1074908017675742,1.2498863787726517,3.662126766165302
0.775,1.1514780957472623,1.1046392522804585,1.1983169392140662,3.662126766165302
0.8,1.151095972047357,1.0981199340838907,1.2040720100108233,3.662126766165302
0.8250000000000001,1.135468559213169,1.0661629499977379,1.2047741684286002,3.662126766165302
0.8500000000000001,1.0873045395668217,0.9779676896373621,1.1966413894962813,3.662126766165302
0.875,1.1623431214554727,1.089586211712292,1.2351000311986533,3.662126766165302
0.9,1.185339594553506,1.1311122047028022,1.2395669844042096,3.662126766165302
0.925,1.177413234262217,1.1010695487830937,1.2537569197413403,3.662126766165302
0.9500000000000001,1.2262670215305456,1.20578288170473,1.246751161356361,3.662126766165302
0.9750000000000001,1.1828691907601583,1.1361671080271123,1.2295712734932043,3.662126766165302
1.0,1.2096919722703359,1.194454306580819,1.2249296379598527,3.662126766165302
