SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.7868625342845916,0.7119907100497831,0.8617343585194002,0.8392090678215027
-9,0.7765018284320832,0.7018098208692257,0.8511938359949406,0.8392090678215027
-8,0.7805442810058594,0.6998075777016205,0.8612809843100983,0.8392090678215027
-7,0.7789595603942872,0.702108949127903,0.8558101716606713,0.8392090678215027
-6,0.7813825726509094,0.7032721590291684,0.8594929862726504,0.8392090678215027
-5,0.8015867650508881,0.7302019045573918,0.8729716255443845,0.8392090678215027
-4,0.7991566121578216,0.7202582085378482,0.8780550157777951,0.8392090678215027
-3,0.7930873274803162,0.721821396644022,0.8643532583166104,0.8392090678215027
-2,0.7544007420539856,0.6864776285052482,0.8223238556027229,0.8392090678215027
-1,0.8137675821781158,0.7406197347485872,0.8869154296076445,0.8392090678215027
0,0.7657363772392273,0.6541503799126709,0.8773223745657837,0.8392090678215027
1,0.8212745308876037,0.7453176341007498,0.8972314276744576,0.8392090678215027
2,0.7596183568239212,0.6667328362402718,0.8525038774075706,0.8392090678215027
3,0.8346106767654419,0.7570793452646638,0.9121420082662199,0.8392090678215027
4,0.737808445096016,0.6390263845188986,0.8365905056731333,0.8392090678215027
5,0.7868412137031555,0.7097586124527522,0.8639238149535589,0.8392090678215027
6,0.823734027147293,0.7366727712599973,0.9107952830345888,0.8392090678215027
7,0.8104215294122696,0.7339511017989149,0.8868919570256244,0.8392090678215027
8,0.8201053202152252,0.7338253272063484,0.906385313224102,0.8392090678215027
9,0.8436176717281342,0.7617581320659098,0.9254772113903585,0.8392090678215027
10,0.8496907711029053,0.7748849954388827,0.9244965467669278,0.8392090678215027
11,0.8145839035511017,0.7213306636721721,0.9078371434300312,0.8392090678215027
12,0.7941010236740113,0.7258756106517535,0.862326436696269,0.8392090678215027
13,0.8568630576133728,0.7704088299345742,0.9433172852921714,0.8392090678215027
14,0.823355084657669,0.7520508534759305,0.8946593158394076,0.8392090678215027
15,0.8388397037982941,0.7614794682994316,0.9161999392971566,0.8392090678215027
16,0.8263834297657013,0.7468313615869862,0.9059354979444165,0.8392090678215027
17,0.8601030886173249,0.7729159574550011,0.9472902197796487,0.8392090678215027
18,0.857117909193039,0.7824477010512393,0.9317881173348387,0.8392090678215027
19,0.8133491456508637,0.7320744290510246,0.8946238622507028,0.8392090678215027
20,0.8325738668441772,0.7634304684073158,0.9017172652810387,0.8392090678215027
21,0.8211836874485016,0.7165370096309212,0.925830365266082,0.8392090678215027
22,0.8405467510223389,0.7522328006626804,0.9288607013819974,0.8392090678215027
23,0.82987180352211,0.7473015866559524,0.9124420203882676,0.8392090678215027
24,0.8249015867710113,0.7383712212564043,0.9114319522856184,0.8392090678215027
25,0.8553239285945893,0.775333568254207,0.9353142889349716,0.8392090678215027
26,0.8598047852516174,0.7996684057718727,0.9199411647313621,0.8392090678215027
27,0.872674036026001,0.8067621289031472,0.9385859431488548,0.8392090678215027
28,0.832455837726593,0.7465343031111649,0.9183773723420212,0.8392090678215027
29,0.8474161505699158,0.7773530438793554,0.9174792572604762,0.8392090678215027
30,0.8213887989521027,0.7392335380831045,0.9035440598211009,0.8392090678215027
