SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.6542511402919551,0.5108080277033289,0.7976942528805813,2.6829532458479917
-9,0.47987836607486745,0.3210059334565476,0.6387507986931873,2.6829532458479917
-8,0.704886543179389,0.49730751165632336,0.9124655747024547,2.6829532458479917
-7,0.44704588976995663,0.31357568622021303,0.5805160933197002,2.6829532458479917
-6,0.4953155904260781,0.32679245402532464,0.6638387268268315,2.6829532458479917
-5,0.8145785495000674,0.6366820999177727,0.992474999082362,2.6829532458479917
-4,0.9283653650879231,0.7599666790244708,1.0967640511513754,2.6829532458479917
-3,0.8843850017335197,0.6152675068068896,1.15350249666015,2.6829532458479917
-2,1.1670909227710662,0.9278702596710371,1.4063115858710953,2.6829532458479917
-1,1.2435216354724594,1.0160126852750606,1.4710305856698582,2.6829532458479917
0,1.2048679912643199,0.9014614125452529,1.5082745699833868,2.6829532458479917
1,1.5962829630061415,1.39910926198141,1.793456664030873,2.6829532458479917
2,1.8237054031620903,1.3896327159402848,2.257778090383896,2.6829532458479917
3,2.4523975091620493,2.300689685151983,2.604105333172116,2.6829532458479917
4,2.689171084189299,2.3516922427143014,3.0266499256642967,2.6829532458479917
5,2.6655071863154722,2.5613509903843847,2.7696633822465597,2.6829532458479917
6,2.812897125796841,2.62427432319086,3.001519928402822,2.6829532458479917
7,2.59317449635189,2.332128252755337,2.854220739948443,2.6829532458479917
8,2.6274899306882036,2.4641453702368565,2.7908344911395506,2.6829532458479917
9,3.0049047117784884,2.6608274781611434,3.3489819453958334,2.6829532458479917
10,2.8753799752358407,2.703585842272712,3.0471741081989694,2.6829532458479917
11,2.879862230724828,2.6352355244040853,3.1244889370455704,2.6829532458479917
12,2.950170999258286,2.7594293896259843,3.1409126088905874,2.6829532458479917
13,2.9844099287996824,2.742752277403143,3.2260675801962218,2.6829532458479917
14,3.336370185143841,3.0733340714107813,3.599406298876901,2.6829532458479917
15,3.353904693750465,3.0328037310740164,3.675005656426914,2.6829532458479917
16,2.966930644019671,2.684370118742709,3.249491169296633,2.6829532458479917
17,3.135862735060615,2.8321888199755336,3.4395366501456963,2.6829532458479917
18,3.0846133735046264,2.74579752496663,3.4234292220426226,2.6829532458479917
19,3.0749537231124267,2.8671989805460187,3.2827084656788346,2.6829532458479917
20,3.2320943924752576,2.986645298264845,3.4775434866856703,2.6829532458479917
21,3.2051649610548507,2.7476033673743534,3.662726554735348,2.6829532458479917
22,3.2303361956462227,2.9318822695645,3.5287901217279454,2.6829532458479917
23,3.3318763608944835,3.0667203863198607,3.5970323354691063,2.6829532458479917
24,2.961757189645571,2.7395783493093093,3.183936029981833,2.6829532458479917
25,3.3046118359346686,3.0627629674208716,3.5464607044484655,2.6829532458479917
26,3.293836229991874,2.9684281558856664,3.619244304098082,2.6829532458479917
27,3.288441806959935,2.7555293124228735,3.8213543014969966,2.6829532458479917
28,3.1917176353634162,2.8585254345633553,3.524909836163477,2.6829532458479917
29,3.150755113842417,2.8146253950567703,3.4868848326280637,2.6829532458479917
30,3.1544365899920193,2.7612455917629175,3.547627588221121,2.6829532458479917
