SNR (dB),Cosine Similarity Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Cosine Similarity
-10,0.6400145590305328,0.5732294751716293,0.7067996428894364,0.7633004784584045
-9,0.6587836563587188,0.5828811928112698,0.7346861199061678,0.7633004784584045
-8,0.6296718001365662,0.5750504460721269,0.6842931542010056,0.7633004784584045
-7,0.6441238999366761,0.5811588372960342,0.7070889625773179,0.7633004784584045
-6,0.6485056519508362,0.5912298699023093,0.7057814339993631,0.7633004784584045
-5,0.6618601143360138,0.5916575237373238,0.7320627049347037,0.7633004784584045
-4,0.6508765816688538,0.5897173583038023,0.7120358050339052,0.7633004784584045
-3,0.6656760573387146,0.601671808788735,0.7296803058886941,0.7633004784584045
-2,0.6892281919717789,0.6154951482335622,0.7629612357099955,0.7633004784584045
-1,0.6791977763175965,0.6198010840377359,0.738594468597457,0.7633004784584045
0,0.6699074327945709,0.5946599621408509,0.7451549034482908,0.7633004784584045
1,0.6501543641090393,0.6028528642183736,0.6974558639997049,0.7633004784584045
2,0.70325408577919,0.6327643330644409,0.7737438384939391,0.7633004784584045
3,0.706259572505951,0.6310359031757131,0.7814832418361888,0.7633004784584045
4,0.8176557719707489,0.7334853499086473,0.9018261940328505,0.7633004784584045
5,0.7114982903003693,0.6531822308834455,0.769814349717293,0.7633004784584045
6,0.6855667948722839,0.6120842450789528,0.759049344665615,0.7633004784584045
7,0.8044775247573852,0.7156344507728413,0.8933205987419292,0.7633004784584045
8,0.7419634819030761,0.667134597194569,0.8167923666115833,0.7633004784584045
9,0.7933134794235229,0.7171136420039048,0.869513316843141,0.7633004784584045
10,0.8266346871852874,0.7455760170714948,0.9076933572990801,0.7633004784584045
11,0.7835624396800995,0.7103627567934588,0.8567621225667402,0.7633004784584045
12,0.8064864158630372,0.7223957505919654,0.8905770811341089,0.7633004784584045
13,0.8229270100593566,0.7331001025716508,0.9127539175470625,0.7633004784584045
14,0.8899699807167053,0.813363108806086,0.9665768526273246,0.7633004784584045
15,0.8271916568279266,0.7265508929233684,0.9278324207324848,0.7633004784584045
16,0.8126869082450867,0.691152058712836,0.9342217577773374,0.7633004784584045
17,0.8247259616851806,0.7256198805757067,0.9238320427946546,0.7633004784584045
18,0.8475494801998138,0.7487217716355248,0.9463771887641028,0.7633004784584045
19,0.828460943698883,0.7392031424010139,0.9177187449967521,0.7633004784584045
20,0.836847859621048,0.7460910984836742,0.9276046207584219,0.7633004784584045
21,0.8659736275672912,0.7803499212019479,0.9515973339326346,0.7633004784584045
22,0.8982184648513794,0.8309456982630126,0.9654912314397461,0.7633004784584045
23,0.8968022644519806,0.802571280026902,0.9910332488770592,0.7633004784584045
24,0.8779660999774933,0.801306597809562,0.9546256021454246,0.7633004784584045
25,0.8463691294193267,0.7532887906676683,0.9394494681709852,0.7633004784584045
26,0.8820185422897339,0.8088015584298935,0.9552355261495742,0.7633004784584045
27,0.9121254324913025,0.8298753776125174,0.9943754873700876,0.7633004784584045
28,0.8647999823093414,0.7763110610635789,0.9532889035551039,0.7633004784584045
29,0.9147845447063446,0.8229943489740169,1.0065747404386722,0.7633004784584045
30,0.923557698726654,0.8426802787131434,1.0044351187401648,0.7633004784584045
