SNR (dB),Mutual Information Mean,95% CI Lower Bound,95% CI Upper Bound,Baseline-Original Mutual Information
-10,0.3794042754821791,0.30017895060805744,0.45862960035630074,3.6775276936539085
-9,0.5250023731492772,0.3679203755984346,0.6820843707001198,3.6775276936539085
-8,0.5686170970235135,0.44547052529026615,0.6917636687567609,3.6775276936539085
-7,0.6375505365762031,0.4518384228090999,0.8232626503433063,3.6775276936539085
-6,0.7398211526884908,0.5990496174598853,0.8805926879170963,3.6775276936539085
-5,0.675528370898167,0.4852648531152673,0.8657918886810667,3.6775276936539085
-4,0.7485562778957586,0.5274430251975999,0.9696695305939174,3.6775276936539085
-3,0.8376081617262223,0.6405661722440511,1.0346501512083934,3.6775276936539085
-2,0.9852349927790612,0.7479423159224491,1.2225276696356733,3.6775276936539085
-1,0.7798472239303065,0.5647697044179004,0.9949247434427125,3.6775276936539085
0,1.2038266076684274,0.7926703825161956,1.6149828328206592,3.6775276936539085
1,1.2691676380780414,0.9601464262946902,1.5781888498613927,3.6775276936539085
2,1.487065392252849,1.1745917965695403,1.7995389879361576,3.6775276936539085
3,1.7188053553803306,1.4849197382346668,1.9526909725259944,3.6775276936539085
4,2.1157096478619586,1.7601623690042154,2.4712569267197018,3.6775276936539085
5,2.5839852331795146,2.231358565916098,2.936611900442931,3.6775276936539085
6,3.193311038523967,2.634916576616557,3.751705500431377,3.6775276936539085
7,3.603299827530324,3.1988813037673163,4.007718351293332,3.6775276936539085
8,3.6470634861100777,3.335462004262465,3.95866496795769,3.6775276936539085
9,3.252837327668929,2.7752435368003514,3.7304311185375063,3.6775276936539085
10,3.7265184508132037,3.395584079788199,4.057452821838209,3.6775276936539085
11,3.7819355198636293,3.4450353621149095,4.118835677612349,3.6775276936539085
12,3.5693359658776442,3.055287495139243,4.083384436616045,3.6775276936539085
13,3.721049607370033,3.416380651870549,4.025718562869518,3.6775276936539085
14,3.5229866514244557,3.026134345205667,4.019838957643245,3.6775276936539085
15,3.666293401387032,3.2207148934667575,4.111871909307307,3.6775276936539085
16,3.644555647339478,3.182950639518996,4.10616065515996,3.6775276936539085
17,3.8985317836401956,3.583800758583505,4.213262808696887,3.6775276936539085
18,3.9309844293664256,3.6574207604635647,4.204548098269286,3.6775276936539085
19,4.010016433115206,3.7384360939811847,4.281596772249228,3.6775276936539085
20,3.906350835664586,3.6345662255213003,4.178135445807872,3.6775276936539085
21,3.9159627678898543,3.6477840350014104,4.184141500778298,3.6775276936539085
22,3.752392649078547,3.4381117525697094,4.066673545587385,3.6775276936539085
23,3.7904027416499133,3.5159404838498145,4.064864999450013,3.6775276936539085
24,3.965766997819628,3.656241444224383,4.275292551414873,3.6775276936539085
25,3.9907464253973686,3.748581705866471,4.232911144928266,3.6775276936539085
26,3.9429619865871466,3.5731583549467123,4.312765618227581,3.6775276936539085
27,3.8716461968911196,3.3980710874939732,4.345221306288265,3.6775276936539085
28,3.6853345755810936,3.106988041790403,4.263681109371784,3.6775276936539085
29,3.7327171359655877,3.182570325524932,4.282863946406244,3.6775276936539085
30,4.079730114829201,3.7739935518137937,4.385466677844608,3.6775276936539085
